#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-10T18:53:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60997c9c16b320	
#INFO	-out.max=9999	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=9999
#-order=I
#-out.src=II/7A/catalog
#-nav=cat:II/7A&tab:{II/7A/catalog}&key:source=II/7A/catalog&HTTPPRM:&&-ref=VIZ60997c9c16b320&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=JP11&-out=LID&-out=n_LID&-out=I&-sort=I&-out=ref&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=II/7A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/7A/catalog
#-out=JP11
#-out=LID
#-out=n_LID
#-out=I
#-out=ref
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_2007
#Name: II/7A
#Title: UBVRIJKLMNH Photoelectric Catalogue (Morel+ 1978)
#Table	II_7A_catalog:
#Name: II/7A/catalog
#Title: Catalog Data
#Column	JP11	(A6)	Johnson Photometry 11 colours number	[ucd=meta.id]
#Column	LID	(F11.8)	Coded identification number	[ucd=meta.id;meta.main]
#Column	n_LID	(A1)	[ DSV%1-3] Suffix to LID	[ucd=meta.note]
#Column	I	(F6.3)	? I magnitude: 0.88, 0.87 um	[ucd=phot.mag;em.opt.I]
#Column	ref	(I4)	[8001,8154] Reference number (see file: refs)	[ucd=meta.id]
#Column	_RA	(F9.5)	J2000 Position from Simbad -- not always accurate or existing (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	J2000 Position from Simbad -- not always accurate or existing (declination part)	[ucd=pos.eq.dec;meta.main]
JP11;LID;n_LID;I;ref;_RA;_DE
   166; 0.04004243; ;      ;8102;308.94621;+41.37908
   167; 0.04103731; ;      ;8111;306.06548;+42.30038
   168; 0.04104064; ;      ;8111;319.04003;+42.54093
   169; 0.04201065; ; 7.510;8057;072.56229;+43.12658
   170; 0.04300044;1; 5.530;8004;004.59536;+44.02295
   170; 0.04300044;2; 7.650;8004;004.60708;+44.02889
   172; 0.04301183; ; 5.860;8057;076.52542;+43.94083
   173; 0.04303477; ; 6.200;8057;301.22917;+43.61333
   174; 0.04304305; ; 6.970;8075;341.70722;+44.33399
   174; 0.04304305; ;      ;8130;341.70722;+44.33399
   174; 0.04401005; ; 6.260;8057;070.30458;+44.68222
   177; 0.04402051;1; 6.220;8008;166.36907;+43.52678
   177; 0.04402051;1;      ;8130;166.36907;+43.52678
   177; 0.04402051;1;      ;8134;166.36907;+43.52678
   177; 0.04402051;2;      ;8008;166.39375;+43.52222
   177; 0.04402051;2;      ;8130;166.39375;+43.52222
   182; 0.04404014; ;      ;8111;330.05030;+45.59998
   183; 0.04502011; ; 9.430;8061;184.01312;+45.13836
   184; 0.04502016; ; 6.880;8061;184.22051;+45.08908
   185; 0.04502019; ; 8.490;8061;184.43880;+45.03211
   186; 0.04502743;D;      ;8130;278.82663;+45.74404
   187; 0.04503349; ; 3.910;8057;314.49769;+46.46684
   188; 0.04700612; ;      ;8130;035.56102;+47.88003
   189; 0.04702112;D;      ;8130;210.63371;+46.34047
   190; 0.04703487; ;      ;8111;323.96524;+47.91187
   190; 0.04703487; ;      ;8142;323.96524;+47.91187
   192; 0.04801999; ; 8.860;8061;181.51963;+47.26979
   193; 0.04902113; ; 9.250;8061;181.90262;+48.20704
   194; 0.05200911; ;      ;8130;075.84959;+53.12847
   195; 0.05203147; ;      ;8111;333.40332;+53.62045
   196; 0.05400651; ; 5.580;8057;048.49059;+54.93576
   197; 0.05400739; ; 5.450;8057;062.24292;+55.14694
   198; 0.05402698; ;      ;8142;332.89854;+55.26789
   199; 0.05500388; ; 5.160;8057;025.76132;+56.51278
   200; 0.05500778; ; 6.380;8057;051.23397;+56.49921
   201; 0.05501823; ;      ;8075;244.27246;+55.26918
   201; 0.05501823; ;      ;8130;244.27246;+55.26918
   203; 0.05600624; ;      ;8111;036.66900;+57.09252
   204; 0.05600673; ; 4.340;8030;039.60592;+57.04616
   205; 0.05602783;2; 6.310;8075;336.99778;+57.69587
   206; 0.05602793; ; 4.140;8057;337.54472;+57.00085
   207; 0.05700258; ; 5.440;8057;019.97341;+58.30854
   208; 0.05700647; ; 4.760;8057;042.76644;+57.85553
   209; 0.05702750; ; 4.760;8057;352.61406;+57.97603
   210; 0.05800373; ; 5.300;8030;031.80023;+58.78775
   211; 0.05800501; ; 4.760;8057;039.96016;+59.59758
   212; 0.05802396; ; 5.500;8057;332.16042;+59.55040
   213; 0.05900580; ; 6.380;8057;045.16542;+59.96639
   214; 0.05900594; ; 4.730;8057;046.91880;+60.48948
   215; 0.05902541; ; 6.650;8057;338.62359;+60.49194
   216; 0.06000310; ; 6.330;8057;025.56880;+61.42121
   217; 0.06000478; ; 5.560;8030;036.84962;+60.68003
   217; 0.06000478; ;      ;8035;036.84962;+60.68003
   217; 0.06000478; ; 5.530;8039;036.84962;+60.68003
   220; 0.06002613; ; 3.900;8057;356.01367;+61.78949
   221; 0.06002634; ; 4.620;8057;358.23432;+61.00233
   222; 0.06100008; ; 6.300;8057;002.40151;+62.66782
   222; 0.06100008; ;      ;8142;002.40151;+62.66782
   224; 0.06100040; ;      ;8111;005.10685;+62.39632
   225; 0.06100154; ;      ;8111;010.82607;+61.91115
   226; 0.06100195; ;      ;8130;015.66194;+62.34504
   227; 0.06100219; ;      ;8142;017.58388;+62.51108
   228; 0.06200207; ; 5.130;8057;017.08303;+63.58645
   229; 0.06300003; ;      ;8142;002.35975;+63.95392
   230; 0.06300261; ;      ;8111;029.37245;+64.04115
   231; 0.06302073; ; 6.500;8057;358.47500;+64.28333
   232; 0.06401842; ; 5.660;8057;355.55150;+65.65245
   233; 0.06501055; ; 8.310;8007;231.94316;+65.40386
   234; 0.06600717; ; 6.940;8008;170.02012;+65.84649
   234; 0.06600717; ;      ;8130;170.02012;+65.84649
   236; 0.06700922; ;      ;8142;240.42089;+66.80282
   237; 0.06800946; ;      ;8130;264.10792;+68.33914
   238; 0.07201031; ;      ;8140;335.38875;+73.67167
   239; 0.90001046; ; 9.700;8137;085.07113;-00.74375
   240; 0.90001050; ; 9.140;8137;085.16464;-00.29986
   241; 0.90301013; ; 9.680;8137;076.71271;-03.33333
   242; 0.90301119; ; 9.950;8137;082.74510;-03.58752
   243; 0.90301140; ; 9.680;8137;083.54543;-03.24515
   244; 0.90301143; ; 9.520;8137;083.80786;-03.20051
   245; 0.90301154; ; 9.660;8137;084.17410;-03.50346
   246; 0.90302002; ;      ;8149;115.01202;-03.60372
   247; 0.90302870; ;      ;8130;153.07362;-03.74566
   248; 0.90401181; ; 8.570;8137;083.80561;-04.86249
   249; 0.90401211; ;10.020;8137;085.12171;-04.35502
   250; 0.90404226; ; 7.430;8008;256.30741;-05.09423
   250; 0.90404226; ; 7.450;8075;256.30741;-05.09423
   250; 0.90404226; ;      ;8130;256.30741;-05.09423
   250; 0.90404226; ;      ;8134;256.30741;-05.09423
   254; 0.90501302; ; 9.910;8137;083.64363;-05.05192
   255; 0.90501352; ; 9.460;8137;084.77742;-04.91905
   256; 0.90501377; ; 9.060;8137;086.07585;-05.25246
   257; 0.90504743; ; 6.240;8057;281.15833;-05.07111
   258; 0.90505715; ;      ;8149;332.41811;-04.64073
   259; 0.90601253; ; 8.840;8027;084.10596;-06.71603
   259; 0.90601253; ; 8.900;8039;084.10596;-06.71603
   259; 0.90601253; ; 8.900;8073;084.10596;-06.71603
   259; 0.90601253; ;      ;8111;084.10596;-06.71603
   259; 0.90601253; ;      ;8140;084.10596;-06.71603
   264; 0.90601259; ;      ;8140;084.30526;-06.58349
   265; 0.90601266; ;10.320;8137;084.45495;-06.43116
   266; 0.90601270; ; 9.640;8137;084.53373;-06.42858
   267; 0.90601273; ; 9.630;8137;084.62232;-06.42798
   268; 0.90604827; ; 6.030;8057;280.03969;-06.61882
   269; 0.90701629;V; 8.790;8121;103.80472;-07.42718
   269; 0.90701629;V;      ;8140;103.80472;-07.42718
   269; 0.90701629;V;      ;8140;103.80472;-07.42718
   272; 0.90701742; ; 4.200;8141;106.73532;-07.55737
   273; 0.90704003; ; 7.460;8008;229.86177;-07.72228
   273; 0.90704003; ;      ;8130;229.86177;-07.72228
   273; 0.90704003; ;      ;8149;229.86177;-07.72228
   276; 0.90804645; ; 5.580;8057;279.09031;-08.87774
   277; 0.90903070; ;      ;8130;156.29516;-10.22869
   278; 0.91004738; ; 5.240;8057;279.62655;-10.00461
   279; 0.91102741; ;      ;8130;147.79017;-12.32986
   280; 0.91103759; ; 7.740;8008;218.57004;-12.51955
   280; 0.91103759; ;      ;8130;218.57004;-12.51955
   280; 0.91103759; ;      ;8149;218.57004;-12.51955
   283; 0.91104672; ;      ;8130;278.37014;-11.63604
   283; 0.91104672; ;      ;8149;278.37014;-11.63604
   285; 0.91104747; ;      ;8111;281.77014;-11.68409
   286; 0.91202918; ; 7.080;8004;142.83097;-13.48870
   286; 0.91202918; ; 7.070;8008;142.83097;-13.48870
   286; 0.91202918; ; 7.060;8075;142.83097;-13.48870
   286; 0.91202918;D;      ;8149;142.83097;-13.48870
   290; 0.91204523; ; 6.780;8008;247.57524;-12.66259
   290; 0.91204523; ;      ;8130;247.57524;-12.66259
   290; 0.91204523; ;      ;8149;247.57524;-12.66259
   293; 0.91205055; ; 4.020;8057;276.90222;-12.46635
   294; 0.91303407; ; 7.600;8007;173.92811;-14.59352
   295; 0.91506290; ; 6.760;8075;343.31972;-14.26370
   295; 0.91506290; ;      ;8104;343.31972;-14.26370
   295; 0.91506290; ;      ;8130;343.31972;-14.26370
   295; 0.91506290; ;      ;8149;343.31972;-14.26370
   299; 0.91706768;D;      ;8130;353.19497;-16.75214
   300; 0.91800359; ; 7.340;8075;031.27020;-17.61463
   301; 0.91803019; ;      ;8149;161.41306;-19.11435
   302; 0.91900967; ; 8.470;8153;069.07949;-19.28121
   303; 0.91904907; ; 5.940;8057;273.43012;-19.24194
   304; 0.92003283; ; 3.670;8141;162.90523;-21.25009
   305; 0.92005056; ; 6.090;8057;273.86667;-20.65500
   306; 0.92104897; ; 5.010;8057;273.08870;-21.11429
   307; 0.92405721; ;      ;8111;114.77564;-24.75135
   308; 0.92602983;D; 5.160;8141;095.91301;-27.06574
   309; 0.92712032; ; 4.230;8057;268.00302;-28.02238
   310; 0.93510525; ;      ;8140;237.30060;-35.65110
   311; 0.93608436; ;      ;8142;199.00708;-37.00333
   312; 0.93707613; ; 9.870;8153;180.56207;-38.16843
   313; 0.93713024; ;      ;8140;285.42012;-36.87608
   314; 0.93713027; ;      ;8140;285.47354;-36.95212
   315; 0.93905067; ;11.250;8147;135.27633;-40.32621
   316; 0.93905074; ; 8.560;8147;135.34927;-40.47676
   317; 0.93905081; ;10.170;8147;135.46667;-40.31833
   318; 0.93905086; ;10.840;8147;135.50417;-40.34167
   319; 0.94004823; ; 9.030;8147;135.22083;-40.57500
   320; 0.94004833; ;10.280;8147;135.41907;-41.47934
   321; 0.94004840; ;10.530;8147;135.59167;-40.55333
   322; 0.94004843; ; 8.620;8147;135.61202;-40.57976
   323; 0.94004857; ;10.030;8147;135.85417;-40.61500
   324; 0.94004865; ; 8.760;8147;135.98493;-40.63753
   325; 0.94004867; ; 8.850;8147;135.98914;-40.69570
   326; 0.94004871; ;10.550;8147;136.09583;-40.64500
   327; 0.94004872; ; 9.390;8147;136.10966;-40.69705
   328; 0.94004873; ;11.200;8147;136.11667;-40.68167
   329; 0.94005404; ;      ;8149;144.94321;-41.06756
   330; 0.94200616; ;      ;8140;026.38186;-41.92912
   331; 0.94300479;V;      ;8140;023.51422;-43.24176
   331; 0.94300479;V;      ;8140;023.51422;-43.24176
   333; 0.94411909; ;      ;8149;264.26526;-44.31922
   334; 0.94611540; ;      ;8149;262.16644;-46.89519
   335; 0.95209243; ;      ;8111;241.75820;-53.06271
   336; 0.95702874; ;      ;8111;153.84155;-57.86186
   336; 0.95702874; ;      ;8142;153.84155;-57.86186
   336; 0.96900474; ;11.210;8059;084.91667;-69.74257
   339; 0.96900476; ;12.250;8059;085.02500;-69.73333
   340; 0.97200077; ;10.640;8059;015.70669;-72.17068
   341; 1.00000026; ; 7.030;8007;001.34254;+08.78781
   342; 1.00000028; ; 3.290;8029;001.33392;-05.70762
   342; 1.00000028; ;      ;8132;001.33392;-05.70762
   344; 1.00000108; ;      ;8111;001.51411;+63.67966
   345; 1.00000358; ; 2.190;8029;002.09691;+29.09043
   346; 1.00000432; ; 1.760;8029;002.29452;+59.14978
   347; 1.00000496; ; 2.610;8029;002.35267;-45.74743
   347; 1.00000496; ; 2.540;8050;002.35267;-45.74743
   347; 1.00000496; ;      ;8132;002.35267;-45.74743
   350; 1.00000571; ; 4.330;8029;002.58019;+46.07227
   350; 1.00000571; ;      ;8083;002.58019;+46.07227
   352; 1.00000693; ;      ;8132;002.81607;-15.46798
   353; 1.00000886; ; 3.130;8029;003.30897;+15.18360
   354; 1.00000923; ; 8.310;8121;003.39168;-29.57569
   355; 1.00001013; ; 2.330;8029;003.65069;+20.20670
   355; 1.00001013; ; 2.330;8057;003.65069;+20.20670
   355; 1.00001013; ;      ;8083;003.65069;+20.20670
   358; 1.00001038;V; 1.920;8029;003.66007;-18.93287
   359; 1.00001280; ; 4.520;8029;004.27291;+38.68164
   360; 1.00001326;1; 5.530;8008;004.59536;+44.02295
   360; 1.00001326;1; 5.500;8075;004.59536;+44.02295
   360; 1.00001326;1;      ;8130;004.59536;+44.02295
   360; 1.00001326;1;      ;8134;004.59536;+44.02295
   360; 1.00001326;2; 7.650;8008;004.59536;+44.02295
   360; 1.00001326;2;      ;8075;004.59536;+44.02295
   360; 1.00001326;2;      ;8130;004.59536;+44.02295
   360; 1.00001326;2;      ;8134;004.59536;+44.02295
   368; 1.00001404; ; 4.440;8029;004.58190;+36.78522
   369; 1.00001522; ; 2.110;8029;004.85698;-08.82392
   369; 1.00001522; ;      ;8132;004.85698;-08.82392
   371; 1.00001581; ; 3.400;8029;005.01775;-64.87479
   371; 1.00001581; ; 3.380;8050;005.01775;-64.87479
   371; 1.00001581; ;      ;8132;005.01775;-64.87479
   374; 1.00001619; ; 8.170;8121;005.08254;-24.70301
   375; 1.00001845;V; 1.460;8038;005.80946;+55.79256
   375; 1.00001845;V; 2.220;8048;005.80946;+55.79256
   377; 1.00001967;V; 2.300;8029;006.00811;+38.57704
   377; 1.00001967;V; 2.490;8038;006.00811;+38.57704
   377; 1.00001967;V; 2.350;8048;006.00811;+38.57704
   380; 1.00002026; ; 7.920;8121;006.07782;-28.98064
   381; 1.00002151; ; 1.960;8029;006.43780;-77.25425
   381; 1.00002151; ; 1.920;8050;006.43780;-77.25425
   381; 1.00002151; ;      ;8132;006.43780;-77.25425
   384; 1.00002261; ; 1.000;8029;006.57105;-42.30598
   384; 1.00002261; ; 0.920;8050;006.57105;-42.30598
   386; 1.00002262; ; 3.720;8029;006.55084;-43.67983
   386; 1.00002262; ; 3.640;8050;006.55084;-43.67983
   388; 1.00002411; ; 1.780;8057;007.01215;+17.89312
   389; 1.00002429;V; 1.840;8029;006.98208;-33.00717
   390; 1.00002772;D; 4.850;8029;007.94316;+54.52229
   391; 1.00002884; ; 4.440;8050;007.88611;-62.95822
   392; 1.00002885; ; 4.290;8050;007.88945;-62.96556
